controller,time,psi,dpsi,u,action
Uncontrolled,0.0,1.0,0.2,0.0,0.0
Uncontrolled,0.1,1.0143692390052752,0.14369239005275264,0.0,0.0
Uncontrolled,0.2,1.0250449174035756,0.10675678398300306,0.0,0.0
Uncontrolled,0.30000000000000004,1.032845957404981,0.07801040001405388,0.0,0.0
Uncontrolled,0.4,1.0329389152003132,0.0009295779533215198,0.0,0.0
Uncontrolled,0.5,1.02678637002227,-0.0615254517804333,0.0,0.0
Uncontrolled,0.6,1.0164660614280843,-0.10320308594185634,0.0,0.0
Uncontrolled,0.7,1.0014183489642368,-0.1504771246384745,0.0,0.0
Uncontrolled,0.7999999999999999,0.9827664409588508,-0.18651908005385925,0.0,0.0
Uncontrolled,0.8999999999999999,0.96013749437874,-0.22628946580110826,0.0,0.0
Uncontrolled,0.9999999999999999,0.9334748088219058,-0.26662685556834154,0.0,0.0
Uncontrolled,1.0999999999999999,0.9031173275957146,-0.30357481226191163,0.0,0.0
Uncontrolled,1.2,0.8683590516691005,-0.3475827592661412,0.0,0.0
Uncontrolled,1.3,0.8305197108855813,-0.3783934078351923,0.0,0.0
Uncontrolled,1.4000000000000001,0.7919286997500343,-0.38591011135546976,0.0,0.0
Uncontrolled,1.5000000000000002,0.7500586462152997,-0.4187005353473462,0.0,0.0
Uncontrolled,1.6000000000000003,0.7037688107814934,-0.46289835433806237,0.0,0.0
Uncontrolled,1.7000000000000004,0.6562357243397138,-0.47533086441779693,0.0,0.0
Uncontrolled,1.8000000000000005,0.6070534998773771,-0.49182224462336693,0.0,0.0
Uncontrolled,1.9000000000000006,0.5569334891246991,-0.5012001075267807,0.0,0.0
Uncontrolled,2.0000000000000004,0.5048821586199338,-0.5205133050476534,0.0,0.0
Uncontrolled,2.1000000000000005,0.4520246532157217,-0.5285750540421206,0.0,0.0
Uncontrolled,2.2000000000000006,0.39856397516636444,-0.534606780493573,0.0,0.0
Uncontrolled,2.3000000000000007,0.34425071653138506,-0.5431325863497939,0.0,0.0
Uncontrolled,2.400000000000001,0.28999642217516924,-0.5425429435621579,0.0,0.0
Uncontrolled,2.500000000000001,0.23655455691480698,-0.5344186526036228,0.0,0.0
Uncontrolled,2.600000000000001,0.1833998363197449,-0.5315472059506208,0.0,0.0
Uncontrolled,2.700000000000001,0.13112487434320957,-0.5227496197653533,0.0,0.0
Uncontrolled,2.800000000000001,0.07902207878708543,-0.5210279555612414,0.0,0.0
Uncontrolled,2.9000000000000012,0.02890645628692355,-0.5011562250016188,0.0,0.0
Uncontrolled,3.0000000000000013,-0.020259311534511396,-0.4916576782143494,0.0,0.0
Uncontrolled,3.1000000000000014,-0.06658452153705423,-0.4632521000254283,0.0,0.0
Uncontrolled,3.2000000000000015,-0.10995999824077418,-0.4337547670371995,0.0,0.0
Uncontrolled,3.3000000000000016,-0.15129927717321623,-0.41339278932442036,0.0,0.0
Uncontrolled,3.4000000000000017,-0.1915240487156194,-0.40224771542403165,0.0,0.0
Uncontrolled,3.5000000000000018,-0.22964466588521018,-0.38120617169590787,0.0,0.0
Uncontrolled,3.600000000000002,-0.2643713208522939,-0.3472665496708375,0.0,0.0
Uncontrolled,3.700000000000002,-0.2975836437211823,-0.3321232286888837,0.0,0.0
Uncontrolled,3.800000000000002,-0.3281560190578979,-0.30572375336715596,0.0,0.0
Uncontrolled,3.900000000000002,-0.3563691108247235,-0.28213091766825604,0.0,0.0
Uncontrolled,4.000000000000002,-0.38344469262302694,-0.27075581798303433,0.0,0.0
Uncontrolled,4.100000000000001,-0.40818717231633567,-0.24742479693308705,0.0,0.0
Uncontrolled,4.200000000000001,-0.43027059531111245,-0.22083422994776772,0.0,0.0
Uncontrolled,4.300000000000001,-0.4483919175033104,-0.18121322192197964,0.0,0.0
Uncontrolled,4.4,-0.4638179261634003,-0.1542600866008986,0.0,0.0
Uncontrolled,4.5,-0.47720364678583616,-0.13385720622435845,0.0,0.0
Uncontrolled,4.6,-0.4863026364879968,-0.09098989702160681,0.0,0.0
Uncontrolled,4.699999999999999,-0.4935746378721722,-0.07272001384175404,0.0,0.0
Uncontrolled,4.799999999999999,-0.49966597184617356,-0.06091333974001344,0.0,0.0
Uncontrolled,4.899999999999999,-0.5037406334287513,-0.04074661582577756,0.0,0.0
Uncontrolled,4.999999999999998,-0.5040603970258892,-0.0031976359713789676,0.0,0.0
Uncontrolled,5.099999999999998,-0.5028093117054949,0.012510853203942584,0.0,0.0
Uncontrolled,5.1999999999999975,-0.49994387796850653,0.028654337369883702,0.0,0.0
Uncontrolled,5.299999999999997,-0.4964722241222599,0.03471653846246634,0.0,0.0
Uncontrolled,5.399999999999997,-0.49102477200504585,0.05447452117214045,0.0,0.0
Uncontrolled,5.4999999999999964,-0.48317990397449784,0.07844868030548006,0.0,0.0
Uncontrolled,5.599999999999996,-0.47392426788746167,0.09255636087036177,0.0,0.0
Uncontrolled,5.699999999999996,-0.46159177789575645,0.1233248999170524,0.0,0.0
Uncontrolled,5.799999999999995,-0.44724920257587275,0.1434257531988368,0.0,0.0
Uncontrolled,5.899999999999995,-0.4315154929345583,0.15733709641314414,0.0,0.0
Uncontrolled,5.999999999999995,-0.4128930039751055,0.18622488959452865,0.0,0.0
Uncontrolled,6.099999999999994,-0.39240709036242116,0.20485913612684317,0.0,0.0
Uncontrolled,6.199999999999994,-0.3688847554110031,0.2352233495141806,0.0,0.0
Uncontrolled,6.299999999999994,-0.34331873973515253,0.2556601567585056,0.0,0.0
Uncontrolled,6.399999999999993,-0.3154425050692636,0.27876234665888977,0.0,0.0
Uncontrolled,6.499999999999993,-0.2859749482921171,0.29467556777146436,0.0,0.0
Uncontrolled,6.5999999999999925,-0.25728354372039025,0.2869140457172688,0.0,0.0
Uncontrolled,6.699999999999992,-0.22937350181898578,0.2791004190140448,0.0,0.0
Uncontrolled,6.799999999999992,-0.2010618411534147,0.283116606655711,0.0,0.0
Uncontrolled,6.8999999999999915,-0.17141457009919922,0.2964727105421547,0.0,0.0
Uncontrolled,6.999999999999991,-0.14255870412685392,0.28855865972345296,0.0,0.0
Uncontrolled,7.099999999999991,-0.11385628161071963,0.2870242251613429,0.0,0.0
Uncontrolled,7.19999999999999,-0.08446911454289584,0.2938716706782379,0.0,0.0
Uncontrolled,7.29999999999999,-0.05467546995241715,0.2979364459047869,0.0,0.0
Uncontrolled,7.39999999999999,-0.02680836003548523,0.2786710991693192,0.0,0.0
Uncontrolled,7.499999999999989,0.0012862622110762362,0.2809462224656146,0.0,0.0
Uncontrolled,7.599999999999989,0.028848718452131786,0.2756245624105555,0.0,0.0
Uncontrolled,7.699999999999989,0.05524352413145827,0.26394805679326483,0.0,0.0
Uncontrolled,7.799999999999988,0.0802999964359554,0.2505647230449713,0.0,0.0
Uncontrolled,7.899999999999988,0.10516986633547673,0.24869869899521332,0.0,0.0
Uncontrolled,7.999999999999988,0.1279061298782469,0.22736263542770158,0.0,0.0
Uncontrolled,8.099999999999987,0.14834227808049522,0.20436148202248305,0.0,0.0
Uncontrolled,8.199999999999987,0.1669689942184316,0.18626716137936375,0.0,0.0
Uncontrolled,8.299999999999986,0.18468671048186874,0.17717716263437164,0.0,0.0
Uncontrolled,8.399999999999986,0.1998942435402185,0.15207533058349765,0.0,0.0
Uncontrolled,8.499999999999986,0.2130965706805056,0.1320232714028709,0.0,0.0
Uncontrolled,8.599999999999985,0.22249486046716116,0.09398289786655548,0.0,0.0
Uncontrolled,8.699999999999985,0.23072301625598413,0.08228155788822965,0.0,0.0
Uncontrolled,8.799999999999985,0.23856575507195976,0.0784273881597565,0.0,0.0
Uncontrolled,8.899999999999984,0.24363731559819315,0.05071560526233393,0.0,0.0
Uncontrolled,8.999999999999984,0.24970785034703563,0.06070534748842479,0.0,0.0
